,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
1788,0.0,0.025693801341534785,0.14663517213927807,0.7090816592437245,0.1363062687865476,1.0770015554320542,3.1551317433057915,69873.97079979764,24371.306486850823,492
1789,0.0,0.022939083992772297,0.142389276824502,0.7803147287276659,0.09695624061869476,1.1178809609637421,3.074365604579617,69953.90207957505,68506.90622760358,491
1790,0.0,0.023770584599100454,0.07722498984709855,0.8636517466384245,0.049963867103444956,1.0144110145641148,2.9568112946714935,70037.91077063164,68506.90622760358,490
1791,0.0,0.019931689679114618,0.10055266294297746,0.8056888579878766,0.07095750466969847,0.887367000344657,3.194548722775755,70078.40438071374,69673.75923305537,489
1792,0.0,0.02467344497943505,0.1681348597567657,0.7299264358506263,0.09035008861325196,1.0249332029773872,3.099676219517685,70089.51482786902,38325.40407951255,488
1793,0.0,0.023984765110607858,0.0880530667756417,0.7522098385786923,0.04439712985620726,0.8953638243420476,2.821773172601195,70102.44466239077,38325.40407951255,487
1794,0.0,0.025527811475037257,0.06707603808380543,0.9618521676797614,0.14525811806631694,1.1135087635242185,3.0656612953782356,70107.88480738805,48598.75339027422,486
1795,0.0,0.02272264037745252,0.12420328219071361,0.6899890812145263,0.05109747650414628,0.964293873178953,3.0869669800573587,70114.45530932982,67843.70360505505,485
1796,0.0,0.029747317589842143,0.16034999662741595,0.6685609453852688,0.10122146212921514,1.0570274109707867,2.9617603748383825,70121.31031335876,63970.61313465534,484
1797,0.0,0.01921773510301096,0.06351262070931862,0.8563995493907772,0.043118477030639424,1.1781583451942268,2.737632062809865,70151.34154301787,63299.326658441794,483
1798,0.0,0.025062471859457373,0.11705704650116532,0.7583854396352298,0.09228427173949766,1.0254875592302144,3.1068112611901206,70152.6939052043,58902.995308060534,482
1799,0.0,0.023853931366555232,0.15072990722300794,0.7456278005716858,0.09217561283967327,0.8671773807679084,3.319076990915777,70185.4265082215,-8562.856034399218,481
1800,0.0,0.026724438946227926,0.10278301105946294,0.7179399833752548,0.04348576253108853,0.9073478345050778,2.8161369462784513,70221.4296589938,58902.995308060534,500
1801,0.0,0.018682859207472945,0.11340282905846229,0.6699997807373473,0.13346160212036684,0.9138433910255996,3.2978689922577678,70261.79794558241,70185.4265082215,499
1802,0.0,0.028911493731412986,0.183416658420944,0.6764118837245752,0.07186703983714889,1.0176604894153949,3.07286481733133,70285.65600637754,46215.11718281837,498
1803,0.0,0.02265212794656432,0.1590171013514049,0.7482948168813912,0.10458300485202127,0.9706057599617335,3.232894082364428,70311.04602712579,42357.8828623732,497
1804,0.0,0.023911989441081066,0.12323869834325399,0.8053728244889734,0.10157373120088574,0.9446409104266427,3.2517173412786073,70312.92494861974,-206421.96128390107,496
1805,0.0,0.029000892036521193,0.09724265927107983,0.7478590451390689,0.13349811382275872,0.8784558263020379,3.1521349024229326,70353.75543557944,54589.21997103193,495
1806,0.0,0.024959124259015187,0.13527948140744583,0.6550108708090895,0.052089776807796494,1.1003635742202469,2.75607081393157,70364.06275915344,-57092.1470508006,494
1807,0.0,0.023161518817278355,0.11795123368494483,0.7503399158927094,0.07773671680920365,1.136977353185198,2.7980229677928676,70385.7918056853,53021.84795069154,493
1808,0.0,0.025935259827474383,0.1361491087480349,0.8301134028438185,0.13173941821004237,1.094717856330859,3.1227848439569224,70409.56411387357,42357.8828623732,492
1809,0.0,0.020344653396995507,0.15692494667134407,0.6582666439003202,0.06733872147674437,0.979543405311791,3.036068174133774,70421.2379811269,33256.416357346585,491
1810,0.0,0.027058544149597796,0.12264211460506265,0.7395066879522743,0.06963568838482379,1.1461307296018155,2.7791478392038518,70481.63039088916,67843.70360505505,490
1811,0.0,0.025335988667706644,0.19489263833653128,0.6721408982966645,0.06266811293558888,0.9705080424322322,3.1712469939164087,70485.35491684747,62479.34810680221,489
1812,0.0,0.021688194786946686,0.09416199246144479,0.9287195316192723,0.13942408944432408,0.9970832058216332,3.1976997518763537,70517.96324662535,68506.90622760358,488
1813,0.0,0.026317518797634987,0.10180608760010681,0.8089507753325745,0.07336016087168859,0.8508639057239417,3.1906746588558166,70542.15684314497,58902.995308060534,487
1814,0.0,0.023959991712551077,0.11472903292678453,0.7076182751862268,0.06393676045147383,1.1229478512848137,2.891868692629386,70545.25753243575,57997.135960561594,486
1815,0.0,0.02087890062329955,0.1066746335007492,0.7786452727918058,0.07673281618486742,0.9466063573132255,3.1795097795075766,70564.53340802525,64819.80603673188,485
1816,0.0,0.025072160033681196,0.12663899402920692,0.7751115738476079,0.10179417202374783,0.8657379257146651,3.3041279300553557,70599.32780735436,57124.54018535164,484
1817,0.0,0.02068272192553636,0.08889425545964844,0.7132025993687923,0.11126787079792821,0.9058812046079606,2.9655608186845557,70620.63690564985,64819.80603673188,483
1818,0.0,0.01977290021312372,0.0922876637044078,0.6907652812149208,0.11670087398310036,0.9865385396479921,3.077997386629769,70650.52548997707,62479.34810680221,482
1819,0.0,0.021419908294424334,0.18525049448396722,0.660045203919142,0.07038123021510274,1.012021971137086,3.1120625989483472,70702.09941144544,-498296.7496242956,481
1820,0.0,0.01871163169345241,0.09747921146433787,0.857250827842771,0.06198515452536051,1.0868563390530557,3.0761023473943006,70720.7566120834,70185.4265082215,500
1821,0.0,0.021333373232447796,0.15826277386672635,0.7209783675430033,0.07860835666382882,1.085069963338649,3.054699223044251,70767.86110089239,56225.19615568417,499
1822,0.0,0.022440568278536042,0.193050140200516,0.6560134793602117,0.07183268235866669,0.8899604202952593,3.236924949360865,70835.46146833396,-498296.7496242956,498
1823,0.0,0.019932111927775054,0.14938770403652332,0.725226007916858,0.08837837257937886,1.1499326319899217,3.042898953324427,70851.56544558724,67843.70360505505,497
1824,0.0,0.02439658924508084,0.10083907929689034,0.89438326156336,0.12614713721352322,1.125553696492109,3.117780048987332,70891.05778849497,24371.306486850823,496
1825,0.0,0.019676665354548768,0.08744827540684523,0.6998980269531053,0.06524681810151695,1.0847095846865455,2.8510450556653586,70901.75657404496,46215.11718281837,495
1826,0.0,0.026094380526081887,0.11853448868024183,0.6668436580549947,0.07115517141290903,1.0767998147502378,2.8338389578119076,70910.34955754028,-inf,494
1827,0.0,0.02550483262505539,0.14067250269166248,0.6686961076702675,0.08222032062704206,0.8519220991467112,3.0257850332987837,70918.7081965387,57124.54018535164,493
1828,0.0,0.02137863509698204,0.10036558773899154,0.7645538822058581,0.06681812322664032,1.1674434897883714,2.71998976240069,71005.39533727334,11530.95644300508,492
